%OpenBCI Raw EXG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index,EXG Channel 0,EXG Channel 1,EXG Channel 2,EXG Channel 3,EXG Channel 4,EXG Channel 5,EXG Channel 6,EXG Channel 7,EXG Channel 8,EXG Channel 9,EXG Channel 10,EXG Channel 11,EXG Channel 12,EXG Channel 13,EXG Channel 14,EXG Channel 15,Accel Channel 0,Accel Channel 1,Accel Channel 2,Other,Other,Other,Other,Other,Other,Other,Analog Channel 0,Analog Channel 1,Analog Channel 2,Timestamp,Other,Timestamp (Formatted),Annotations
1,0,-0,0,-0,0,0,0,0,0,-0,-0,0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,T0
2,15.49,4.583,-11.36,13.6,6.404,3.988,13.02,3.723,-46.68,-27.03,1.783,15.88,5.898,7.293,5.554,-2.126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3,31.24,11.81,-28.25,-42.21,17.28,26.76,32.8,16.67,9.531,4.318,22.06,45.49,23.17,16.66,24.19,8.613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4,52.22,39.9,-48.31,-22.49,26.72,59.73,46,24.54,52.04,23.88,40.24,62.44,34.29,17.69,40.97,17.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5,59.66,67.27,-54,38.3,11.09,47.65,51.85,29.55,25.51,10.52,47.96,66.55,40.88,22.39,55.69,23.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6,50.99,78.52,-64.02,11.91,0.0823,9.061,49.81,29.75,13.03,15.5,51.93,76.56,50.76,35.59,66.77,30.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7,41.34,81.83,-81.53,-25.31,16.3,0.2272,32.26,13.45,5.093,23.75,51.55,80.39,57.99,39.63,65.33,36.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8,27.89,70.63,-70.61,-25.1,5.851,-1.692,6.852,-5.148,-23.14,13.7,55.08,69.47,65.77,38.91,65.41,48.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9,18.34,63.47,-59.46,-21.33,-26.64,-11.08,-20.01,-19.99,-22.16,16.08,63.49,56.04,68.56,42.24,66.58,51.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
10,13.65,72.42,-69.61,-18.75,-21.73,-12.25,-32.74,-36.09,-10.21,31.1,67.06,43.78,62.54,45.45,55.4,41.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
